,제목,평점,장르,줄거리
61,닥터 스트레인지,8,액션,"불의의 사고로 절망에 빠진 천재 외과의사 ‘닥터 스트레인지(베네딕트 컴버배치)’. 마지막 희망을 걸고 찾아 간 곳에서 ‘에인션트 원(틸다 스윈튼)’을 만나 세상을 구원할 강력한 능력을 얻게 되면서,모든 것을 초월한 최강의 히어로로 거듭나는데..."
62,다가오는 것들,8,드라마,"파리의 고등학교에서 철학을 가르치는 ‘나탈리(이자벨 위페르)’는 두 아이의 엄마이자 한 남자의 부인, 그리고 홀어머니의 딸로서 바쁘지만 행복한 날들을 지내고 있다. 그러던 어느 날 남편의 갑작스러운 고백과 함께 그녀의 평화롭던 삶이 흔들리기 시작하는데…"
63,제독: 미힐 드 로이테르,8,액션,"17세기 신흥 강국으로 부상한 네덜란드. 2만 척의 배로 전세계를 누비며 교역으로 부를 쌓고, 정치적으로는 공화국 체계를 구축하며 국민에게 자유를 장려하던 네덜란드는 왕당정치를 고수하던 유럽 열강국들에게 위협적인 존재로 성장하기에 이른다. 이에 영국은 함대를 보내 네덜란드의 교역로를 차단하려 하고 끝내 교전이 빈번하게 일어나는데…  영국과의 해전 중 전사한 트롬프 장군은 선장에 불과한 미힐에게 그의 뒤를 부탁한다는 유언을 남기고 이에 힘입어 선원들 사이에서 뛰어난 지도력과 전략을 선보여 인정을 받았던 미힐은 왕당파의 반대에도 불구하고 새로운 장군으로 취임하게 된다. 미힐이 장군이 됨으로써 처음으로 영국과의 해전에서 승리를 거두고, 그 뒤에도 미힐은 계속해서 네덜란드에게 승리를 안겨주지만 그를 향한 왕당파의 시선이 곱지만은 않다. 이렇게 나라 안팎의 적들을 상대하며 미힐은 네덜란드 함대를 유럽 최강으로 올려놓기 위해 고군분투하는데…  위대한 업적으로 혁혁한 공을 세우며 지금까지도 역사상 가장 위대한 제독으로 기억되는 장군 미힐 드 로이테르는 과연 마지막까지 네덜란드에게 승리를 선사할 수 있을 것인가."
64,곡성(哭聲),7,드라마,"낯선 외지인(쿠니무라 준)이 나타난 후 벌어지는 의문의 연쇄 사건들로 마을이 발칵 뒤집힌다. 경찰은 집단 야생 버섯 중독으로 잠정적 결론을 내리지만 모든 사건의 원인이 그 외지인 때문이라는 소문과 의심이 걷잡을 수 없이 퍼져 나간다. 경찰 ‘종구’(곽도원)는 현장을 목격했다는 여인 ‘무명’(천우희)을 만나면서 외지인에 대한 소문을 확신하기 시작한다. 딸 ‘효진’(김환희)이 피해자들과 비슷한 증상으로 아파오기 시작하자 다급해진 ‘종구’. 외지인을 찾아 난동을 부리고, 무속인 ‘일광’(황정민)을 불러들이는데..."
65,캡틴 아메리카: 시빌 워,8,액션,어벤져스 VS 어벤져스 분열은 시작되었다!어벤져스와 관련된 사고로 부수적인 피해가 일어나자 정부는 어벤져스를 관리하고 감독하는 시스템인 일명 ‘슈퍼히어로 등록제’를 내놓는다. 어벤져스 내부는 정부의 입장을 지지하는 찬성파(팀 아이언맨)와 이전처럼 정부의 개입 없이자유롭게 인류를 보호해야 한다는 반대파(팀 캡틴)로 나뉘어 대립하기 시작하는데...
66,헝거게임 : 더 파이널,7,액션,"두 번의 헝거게임에서 살아남은 생존자 캣니스 에버딘. 그런 그녀를 향한 스노우 대통령의 공격은 더욱 거세지고 캣니스의 분노는 폭발한다.캣니스는 그를 멈추고 모든 것을 끝낼 수 있는 사람이 바로 자신임을 깨닫고, 13구역 군단에 합류한다. 철저하게 준비를 끝낸 캣니스와 최정예 요원들은 캐피톨 입성에 성공하지만 스노우 대통령이 설치한 함정들로 인해 목숨을 위협받는 위험한 상황에 처하게 된다.희생된 동료들을 뒤로한 채 가까스로 스노우 대통령과의 대결을 앞둔 캣니스에게 또 다른 충격적인 사건이 벌어지는데…마침내 최후의 승자가 결정된다!"
67,바람의 검심 : 전설의 최후편,8,액션,"세상을 뒤흔들 반란을 계획하고 있는 절대악 시시오와 그의 부하 십본도를 저지하기 위해 교토까지 온 히무라 켄신 (사토 타케루). 한때 켄신의 자리를 이어받아 유신지사로 활동했던 시시오가 정부에 배신당하고 반란을 일으킨 것이다. 시시오 일당에 맞서던 켄신은 십본도의 세타 소지로 (카미키 류노스케)에 의해 역날검이 반토막이 나게 되고, 나라와 자신의 곁을 지키는 사람들이 절체절명의 위험에 빠지고 심지어 유일한 무기였던 역날검마저 쓸 수 없게 되면서 최대의 궁지에 몰리게 된다. 불살을 맹세했던 켄신은 부러진 역날검을 들고 최강의 절대악인 시시오와 맞서 일생일대의 마지막 결전을 앞두게 되는데.."
68,헝거게임:모킹제이,7,액션,"헝거게임이 끝나고 캣니스의 고향인 12구역이 캐피톨의 폭격으로 파괴되자 그녀는 절망감으로 괴로워한다. 12구역의 생존자들이 13구역에 있다는 것을 알게 된 캣니스는 반정부 세력의 중심이 된다. 어떤 공격도, 어떤 감시도 피할 수 있는 전설의 13구역을 다스리는 대통령 코인은 캣니스에게 혁명의 불꽃이자 반군의 상징인 모킹제이가 되어달라고 부탁하고, 모두의 희망이 된 캣니스는 이제 세상을 구할 반격을 시작한다."
69,월터의 상상은 현실이 된다,8,액션,"‘라이프’ 잡지사에서 16년째 근무 중인 월터 미티.반복되는 일상이지만 ‘상상’을 통해 특별한 순간을 꿈꾸는 그에게폐간을 앞둔 ‘라이프’지의 마지막 호 표지 사진을 찾아오는 미션이 생긴다.평생 국내를 벗어나 본 적 없는 월터는 문제의 사진을 찾아 그린란드, 아이슬란드 등을 넘나들며 평소 자신의 상상과는 비교할 수 없는 거대한 어드벤처를 시작한다.누구보다 평범한 일상을 살던 월터,그 누구도 겪은 적 없는 특별한 생애 최고의 순간을 맞이하게 된다!"
70,엽문,9,액션,"1930년대 중국, 수많은 무술가들의 메카가 된 불산. 그 곳에서 ‘엽문’은 빠른 스피드와 강력한 힘을 자랑하는 영춘권의 고수이자, 백전불패를 자랑하는 신화와 같은 실력으로 중국 전역에 명성을 떨친다. 그러던 어느 날, 일본이 중국대륙을 침략해 중일전쟁이 발발하고 불산은 일본의 식민지배 하에 놓이게 된다. 일본은 먼저 ‘민족혼 말살정책’의 일환으로 불산의 무술가들을 비열한 방법으로 하나하나 격파해 나간다. 심지어 이로 인해 죽음에 이르는 무술가들이 늘어가자 엽문은 큰 충격에 빠진다. 그 후 엽문은 제자를 받아들이지 않겠다던 자신의 신념을 버리고 국민들이 일본으로부터 자신의 몸을 지킬 수 있도록 무예를 가르치며, 중국의 자존심을 되찾기 위해 자신의 무술로 일본에 저항하는데..."
71,더 폴: 오디어스와 환상의 문,8,액션,"1920년 미국 할리우드의 한 병원. 말을 타다 부상으로 하반신이 마비된 전문 스턴트맨 로이는 쇄골이 부러져 병원에 입원한 작은 꼬마 알렉산드리아와 친구가 된다. 어린 친구를 위해 로이는 매일 세상 끝 먼 곳에서 온 다섯 전사에 대한 환상적인 이야기를 들려 주고, 시간이 갈수록 현실과 환상은 서로 얽히고 뒤섞이게 되는데… 영화제 소개글. 1981년 불가리아 영화 &lt요호호&gt를 리메이크한 &lt더 폴&gt은 전 세계 18개국 26개의 로케이션에서 촬영되었다. 영화의 초현실적이고 판타스틱한 영상에도 불구하고 특수효과가 완전히 배제된 채 모든 장면이 실제로 촬영되었다는 사실이 놀랍다."
72,라따뚜이,9,액션,"절대미각, 빠른 손놀림, 끓어 넘치는 열정의 소유자 ‘레미’. 프랑스 최고의 요리사를 꿈꾸는 그에게 단 한가지 약점이 있었으니, 바로 주방 퇴치대상 1호인 ‘생쥐’라는 것! 그러던 어느 날, 하수구에서 길을 잃은 레미는 운명처럼 파리의 별 다섯개짜리 최고급 레스토랑에 떨어진다. 그러나 생쥐의 신분으로 주방이란 그저 그림의 떡. 보글거리는 수프, 둑닥둑닥 도마소리, 향긋한 허브 내음에 식욕이 아닌 ‘요리욕’이 북받친 레미의 작은 심장은 콩닥콩닥 뛰기 시작하는데! 쥐면 쥐답게 쓰레기나 먹고 살라는 가족들의 핀잔에도 굴하지 않고 끝내 주방으로 들어가는 레미. 깜깜한 어둠 속에서 요리에 열중하다 재능 없는 견습생 ‘링귀니’에게 ‘딱’ 걸리고 만다. 하지만 해고위기에 처해있던 링귀니는 레미의 재능을 한눈에 알아보고 의기투합을 제안하는데. 과연 궁지에 몰린 둘은 환상적인 요리 실력을 발휘할 수 있을 것인가? 레니와 링귀니의 좌충우돌 공생공사 프로젝트가 아름다운 파리를 배경으로 이제 곧 펼쳐진다!"
73,라디오 스타,9,코미디,"명곡 비와 당신으로 88년 가수 왕을 차지했던 최곤은 그 후 대마초 사건, 폭행사건 등에 연루돼 이제는 불륜커플을 상대로 미사리 까페촌에서 기타를 튕기고 있는 신세지만, 아직도 자신이 스타라고 굳게 믿고 있다. 조용하나 싶더니 까페 손님과 시비가 붙은 최곤은 급기야 유치장 신세까지 지게 되는데. 일편단심 매니저 박민수는 합의금을 찾아 다니던 중 지인인 방송국 국장을 만나고, 최곤이 영월에서 DJ를 하면 합의금을 내준다는 약속을 받아낸다. 프로그램 명 최곤의 오후의 희망곡 하지만 DJ자리를 우습게 여기는 최곤은 선곡 무시는 기본, 막무가내 방송도 모자라 부스 안으로 커피까지 배달시킨다. 피디와 지국장마저 두 손 두발 다 들게 만드는 방송이 계속되던 어느 날, 최곤은 커피 배달 온 청록 다방 김양을 즉석 게스트로 등장시키고 그녀의 사연이 많은 이들의 심금을 울리며 방송은 점차 주민들의 호응을 얻는다. 그러나 성공에는 또 다른 대가가 있는 법..."
74,"나니아 연대기 - 사자, 마녀 그리고 옷장",7,액션," 제작진이 선사하는 2005년 판타지 액션 대작 ! 판타지 소설의 걸작 C. S. 루이스 원작을 바탕으로 한 은 총 7편의 작품 중 그 서막을 여는 첫번째 이야기이다. 2차 세계대전 중, 전쟁을 피해 먼 친척 집에 맡겨진 네 남매들은 어느날, 그 저택에 있는 마법의 옷장을 통해 환상의 나라 나니아에 들어가게 된다. 마녀의 마법에 빠져 영원히 겨울만 계속되는 나니아... 아이들은 위대한 사자 아슬란과 함께 위험에 빠진 나니아를 구하기 위해 불가능한 모험을 시작하는데.... 올 겨울, 운명이 열리는 순간 신화의 연대기가 시작된다!"
75,이프 온리,9,코미디,"눈앞에서 사랑하는 연인을 잃은 남자는 다음 날 아침, 자신의 옆에서 자고 있는 연인을 보고 소스라치게 놀란다. 기쁨도 잠시, 정해진 운명은 바꿀 수 없단 것을 깨달은 그는 더 늦기 전에 자신의 진정한 사랑을 전하기로 마음먹는데…네가 아니었다면 난 영영 사랑을 몰랐을 거야사랑하는 법을 알게 해줘서 고마워, 사랑받는 법도."
76,워크 투 리멤버,8,드라마,"전혀 어울릴 것 같지 않은 두 사람의 ‘썸' 스캔들!아웃사이더 ‘제이미’에게 일진 킹카 ‘랜든’이 빠졌다고?“날 사랑하지 않겠다고 약속해!”서로에 대한 마음을 부정하지만 자기도 모르게 사랑에 빠져버린 두 사람.‘썸’이 ‘사랑’으로 발전하자 둘의 만남을 방해하는 사람들이 하나 둘 나타나는데…주변의 방해해도 불구하고 사랑을 키워가는 두 사람.그런 그들 앞에 가혹한 운명이 기다리고 있었으니,과연 ‘랜든’과 ‘제이미’는 이대로 사랑할 수 있을까?"
77,더 이퀄라이저 2,7,액션,전직 특수 요원 로버트 맥콜(덴젤 워싱턴)이 정의를 구현하기 위해 악행을 일삼는 범죄 집단을 소탕하는 덴젤 워싱턴의 숨막히는 범죄 액션 스릴러
78,주선,0,SF/판타지,"어린 시절 마교의 습격으로 인해 가족를 잃은 ‘정소범’은 자신을 거둬준 청운문의 제자가 된다.탁월한 무공실력을 자랑하는 천하제일 문파인들과 달리 마냥 밝고 순수한 ‘정소범’은 오랜 수련에도 불구하고 다른 문인들과 비교되기 일쑤.그러던 어느 날, 옛 스승에게 건네받은 서혈주가 전설과도 같은 법기 섭혼을 깨우게 되고 ‘정소범’은 순식간에 세상을 지배할 절대적인 힘을 손에 넣게 된다.이에 서혈주를 빼앗기 위한 마교 귀왕종과 세상의 질서를 지키기 위한 문파는 ‘정소범’을 위협하기 시작하고 누구보다 순수한 마음을 지녔던 그는 점차 법기 섭혼의 진정한 힘을 깨닫게 되는데..."
79,잭 스나이더의 저스티스 리그,0,액션,"슈퍼맨이 죽고 지구에 어둠의 그림자가 드리운다. ‘마더박스’를 차지하기 위해 빌런 스테픈울프가 파라데몬 군단을 이끌고 지구에 온 것이다.지구를 지키기 위해 목숨을 바친 슈퍼맨의 희생이 헛되지 않도록 하기 위해 브루스 웨인은 다이애나 프린스와 적에 맞서기로 한다. 배트맨과 원더 우먼은 새로이 등장한 위협에 맞서 싸우기 위해 특별한 능력을 가진 메타휴먼, 아쿠아맨과 사이보그, 플래시를 찾아가 설득하여 힘을 합친다.드디어 한 팀이 된 저스티스 리그. 혹시 스테픈울프와 데사드 그리고 다크사이드를 물리치기에 너무 늦어버린 것이 아닐까?"
80,프로페서 앤 매드맨,8,드라마,"빅토리아 시대, 대영제국의 부활을 위해 세상을 정의할 '옥스퍼드 사전 편찬 프로젝트'가 시작된다. 책임자로 부임한 이는 수십 개의 언어를 구사하는 괴짜 교수 제임스 머리(멜 깁슨). 그는 영어를 쓰는 모든 이들로부터 단어와 예문을 모으자는 파격적인 제안을 내놓는다. 전국에서 편지가 빗발치던 어느 날, 머리는 고전을 풍부하게 인용한 수백 개 예문이 담긴 편지를 발견한다. 보낸 이는 닥터 윌리엄 마이너(숀 펜), 그의 천재적인 능력으로 불가능해 보였던 사전 편찬 작업엔 속도가 붙는다. 하지만 윌리엄이 정신병원에 구금된 미치광이라는 사실이 밝혀지게 되는데..."
